id,title,genre,imdb_link,plot,poster_path
27491,Kairo,"Horror, Mystery, Sci-Fi, Thriller",tt0286751,"After one of their friends commits suicide, strange things begin happening to a group of young Tokyo residents. One of them sees visions of his dead friend in the shadows on the wall, while another's computer keeps showing strange, ghostly images. Is their friend trying to contact them from beyond the grave, or is there something much more sinister going on?",data/posters/27491-kairo.jpeg
4714,Any Which Way You Can,"Action, Comedy",tt0080377,"Philo takes part in a bare knuckle fight - as he does - to make some more money than he can earn from his car repair business. He decides to retire from fighting, but when the Mafia come along and arrange another fight, he is pushed into it. A motorcycle gang and an orangutan called Clyde all add to the 'fun'.",data/posters/4714-any-which-way-you-can.jpeg
3316,Reindeer Games,"Action, Adventure, Crime, Drama, Thriller",tt0184858,"After being imprisoned for six years on a grand theft auto charge, Rudy Duncan (Ben Affleck) is days away from release as is his cellmate Nick (James Frain) who is is serving a two year sentence on a separate charge. Nick has a number of pictures from a romantic correspondence with a woman named Ashley he has never met but is waiting for his release. Rudy is looking forward to returning to his family and having a fresh cup of hot chocolate. Nick is killed defending Rudy during a prison riot. When Rudy Is released the next day from prison he recognizes Ashley waiting outside the prison for Nick and Rudy takes his place and pretends to be Nick. Nick had spoken of his previous employment in security with an Indian casino and Rudy finds himself involved with Ashley's criminal gun runner brother Gabriel (Gary Sinise). Rudy is violently coerced to cooperate with a Christmas Eve casino robbery scheme that Gabriel and his gang have been planning with Nick's casino knowledge as the key. Things don't go as planned with a number of plot twists and double crosses.",data/posters/3316-reindeer-games.jpeg
42013,The Ringer,"Comedy, Sport",tt0267891,"This comedy is about two guys who decide to rig the Special Olympics to pay off a debt by having one of them, Steve (Knoxville), pose as a contestant in the games, hoping to dethrone reigning champion, Jimmy. Mentally-challenged high jinks and hilarity surely follow.",data/posters/42013-the-ringer.jpeg
1381,Grease 2,"Comedy, Drama, Musical, Romance",tt0084021,"Return to rockin' Rydell High for a whole new term! It's 1961, two years after the original Grease gang graduated, and there's a new crop of seniors - and new members of the coolest cliques on campus, the Pink Ladies and T-Birds. Michael Carrington is the new kid in school - but he's been branded a brainiac. Can he fix up an old motorcycle, don a leather jacket, avoid a rumble with the leader of the T-Birds, and win the heart of Pink Lady Stephanie Zinone? He's surely going to try!",data/posters/1381-grease-2.jpeg
1912,Out of Sight,"Comedy, Crime, Drama, Romance, Thriller",tt0120780,"A career bank robber busts out of jail (Clooney) with the help of his buddy (Rhames) and kidnaps a US Marshal (Lopez) in the process. When the two cons head for Detroit to pull off their final big scam, the Marshal is put on their case but she finds she is attracted to one of them and has second thoughts about bringing them in.",data/posters/1912-out-of-sight.jpeg
1885,The Opposite of Sex,"Comedy, Drama, Romance",tt0120777,"A 16 year old Louisiana girl moves in with her homosexual half-brother and immediately starts coming on to his sexual partner, finally forcing him into an affair in which she becomes pregnant. The whole affair blows into a scandal exposing her school teacher brother and the true parent of the child is called into question as it is revealed that there have been a series of lovers.",data/posters/1885-the-opposite-of-sex.jpeg
2688,The General's Daughter,"Crime, Drama, Mystery, Thriller",tt0144214,"The naked corpse of Captain Elisabeth Campbell, daughter of Lieutenant General ""Fighting Joe"" Campbell, is found staked out on the urban warfare range of Fort MacCallum. Army CID detectives and ex-lovers Paul Brenner and Sara Sunhill are called in to investigate, and find themselves wrapped up in a maelstrom of sexual impropriety and misguided face-saving.",data/posters/2688-the-generals-daughter.jpeg
6476,Shattered,"Crime, Drama, Mystery, Thriller",tt0102900,Dan Merrick comes out from a shattering car accident with amnesia. He finds that he is married to Judith who is trying to help him start his life again. He keeps getting flashbacks about events and places that he can't remember. He meets pet shop owner and part time private detective Gus Klein who is supposedly done some work for him prior to the accident. Klein helps Merrick to find out more about his past and true identity.,data/posters/6476-shattered.jpeg
987,Bliss,"Drama, Romance",tt0118742,Joseph and Maria are married for six months and Maria still has never had an orgasm with her husband. They begin to visit mysterious doctor Baltazar who teaches them how to reach ecstasy in sex.,data/posters/987-bliss.jpeg
